city	brand	car_title	offer_price	mileage	newcar_price	car_age	result	
安庆	奥迪A4L	35TFSI自动标准型	15.8	8.92	33.6	57	0.470238095
安庆	奥迪Q5	2.0TFSI进取型	18	14.1	41.6	73	0.432692308
安庆	奥迪A4L	35TFSI自动舒适型	24	2.3	36.1	35	0.664819945
安庆	奥迪A6L	30周年年型TFSI进取型	35	1.07	43.7	8	0.800915332
安庆	奥迪A4L	Plus40TFSI时尚型	28.28	0.79	37.5	12	0.754133333
安庆	奥迪A6L	45TFSIquattro运动型	38	4.5	57	23	0.666666667
安庆	奥迪A6L	TFSI标准型	25	5	44.5	55	0.561797753
安庆	奥迪A6L	2.0TFSI自动舒适型	16.5	11.17	45.1	77	0.365853659
安庆	奥迪A6L	TFSI技术型	30	3.7	45.1	26	0.66518847
安庆	奥迪A4L	30TFSI手动舒适型	12.5	7.05	29.6	68	0.422297297
安庆	奥迪Q3	30TFSI时尚型	19.28	1.99	28.1	20	0.686120996
安庆	奥迪A6L	TFSI标准型	28.28	3.67	44.5	35	0.635505618
安庆	别克昂科威	20T两驱精英型	17	2.51	25.6	24	0.6640625
安庆	别克君越	2.4LSIDI雅致版	9.2	9.93	25.5	73	0.360784314
安庆	别克英朗	GT1.6L手动进取版	4.2	7.8	14.9	93	0.281879195
安庆	别克凯越	1.5L手动经典型	5.2	1.6	9.4	35	0.553191489
安庆	别克英朗	GT1.6L手动进取版	5.48	5.08	14.9	51	0.367785235
安庆	别克英朗	GT1.6L自动时尚版	4.58	13.93	16.6	71	0.275903614
安庆	别克英朗	15N自动精英型	7.48	5.06	13.8	28	0.542028986
安庆	别克君越	2.4LSIDI领先舒适型	16	2.97	25.6	31	0.625
安庆	别克GL8	3.0LGT豪华商务豪雅版	24.8	6.24	40.2	38	0.616915423
安庆	别克凯越	1.6LX-AT	4	3.63	11.4	67	0.350877193
安庆	别克凯越	1.5L自动经典型	4.6	8.78	11.1	59	0.414414414
安庆	别克昂科拉	1.4T自动两驱都市精英型	9	3.27	16.3	32	0.552147239
安庆	别克君威	1.6T领先技术型	12.5	1.2	20.6	12	0.606796117
安庆	别克凯越	1.6LE-AT	3.5	13.1	12.8	89	0.2734375
安庆	别克英朗	XT1.6L自动时尚版	5.7	6.6	16.3	88	0.349693252
安庆	别克英朗	XT1.6L自动时尚版	7	4	16.3	55	0.429447853
安庆	别克凯越	1.6LE-AT	4.2	5.9	12.8	75	0.328125
安庆	宝马2系	218i敞篷轿跑车(进口)	23.8	1.62	35.3	24	0.674220963
安庆	宝马X1	sDrive18Li尊享型	21	2.23	33.2	23	0.63253012
安庆	宝马7系	730Li领先型(进口)	50	4.5	101.3	52	0.493583416
安庆	宝马5系	520Li典雅型	24.8	19.68	47.3	46	0.524312896
安庆	宝马Z4	sDrive23i烈焰限量版(进口)	21.26	8.92	66.5	84	0.319699248
安庆	宝马X5	xDrive35i领先型(进口)	35	6.17	97.8	64	0.357873211
安庆	宝马3系	320Li时尚型	18.58	9.83	38.9	47	0.477634961
